scan_time,ticker,current_price,ctx_Y_closed,ctx_Q_closed,ctx_M_closed,ctx_W_closed,ctx_D_closed,ctx_Y_live,ctx_Q_live,ctx_M_live,ctx_W_live,ctx_D_live,score,sector,industry,etfs,etf_count,etfs_pretty
2026-05-06 18:48:21 EDT,ABT,86.25,2U,2D,2D,2D,2D,2D,2D,2D,2D,2D,-5,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,TMUS,193.17,2U,2D,2D,2D,2D,2D,1,1,1,2D,-5,Communication Services,Unknown,QQQ,1,QQQ
2026-05-06 18:48:21 EDT,SHOP,105.28,2U,2D,3,2D,2D,1,2D,2D,3,2D,-2,Unknown,Unknown,ARKK|QQQ,2,"ARKK, QQQ"
2026-05-06 18:48:21 EDT,C,127.58,2U,2U,2U,2D,2U,2U,2U,1,3,2U,11,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,MCD,284.04,2U,2U,2D,2D,3,2U,2D,2D,2D,3,4,Consumer Discretionary,Unknown,DIA|XLY,2,"DIA, XLY"
2026-05-06 18:48:21 EDT,SHEL,87.18,3,3,1,3,2D,2U,1,1,1,2D,-1,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,ISRG,451.58,2U,2U,2D,2D,1,1,2D,2D,2D,1,4,Health Care,Unknown,QQQ|XLV,2,"QQQ, XLV"
2026-05-06 18:48:21 EDT,APP,469.21,2U,2D,2D,2D,2D,1,1,1,2U,2D,-5,Information Technology,Unknown,QQQ|XLK,2,"QQQ, XLK"
2026-05-06 18:48:21 EDT,DIS,107.97,3,2D,2U,2D,2U,1,1,2U,3,2U,-2,Communication Services,Unknown,DIA,1,DIA
2026-05-06 18:48:21 EDT,LIN,501.82,2D,2U,2U,2U,2U,2U,2U,2U,2D,2U,5,Materials,Unknown,QQQ,1,QQQ
2026-05-06 18:48:21 EDT,BX,124.68,1,2D,2U,2D,2U,2D,1,1,1,2U,-2,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,INTC,113.0,2D,2U,2U,2U,2U,2U,2U,2U,2U,2U,5,Information Technology,Unknown,QQQ|SMH|XLK,3,"QQQ, SMH, XLK"
2026-05-06 18:48:21 EDT,QCOM,192.63,2D,2D,3,2U,2U,1,3,2U,2U,2U,-6,Information Technology,Unknown,QQQ|SMH|XLK,3,"QQQ, SMH, XLK"
2026-05-06 18:48:21 EDT,PEP,155.91,2D,3,1,3,2U,2U,1,1,2D,2U,-4,Consumer Staples,Unknown,QQQ|XLP,2,"QQQ, XLP"
2026-05-06 18:48:21 EDT,MUFG,18.39,2U,2U,2U,1,2U,2U,1,1,2U,2U,13,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,GEV,1119.24,2U,2U,2U,1,3,2U,2U,1,1,3,12,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,SCHW,92.14,2U,2U,3,1,1,2U,2D,1,2U,1,9,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,KLAC,1816.28,2U,2U,2U,2D,2U,2U,2U,1,1,2U,11,Information Technology,Unknown,SMH|XLK,2,"SMH, XLK"
2026-05-06 18:48:21 EDT,BLK,1073.53,2U,2D,1,3,2U,1,1,2U,2U,2U,2,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,INTU,388.33,3,2D,2D,1,2D,2D,2D,1,2U,2D,-8,Information Technology,Unknown,XLK,1,XLK
2026-05-06 18:48:21 EDT,AMGN,331.03,1,2U,2D,2D,2U,2U,1,2D,2D,2U,0,Health Care,Unknown,DIA|XLV,2,"DIA, XLV"
2026-05-06 18:48:21 EDT,UBER,79.08,2U,2D,1,2D,2U,1,1,2U,3,2U,0,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,SAN,12.39,2U,2U,2U,1,2U,2U,1,1,3,2U,13,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,BA,229.9,2D,2U,2U,1,2U,2U,1,1,2D,2U,3,Industrials,Unknown,DIA|XLI,2,"DIA, XLI"
2026-05-06 18:48:21 EDT,TXN,289.42,3,2U,2U,1,2U,2U,2U,2U,2U,2U,8,Information Technology,Unknown,SMH|XLK,2,"SMH, XLK"
2026-05-06 18:48:21 EDT,PDD,102.25,2D,2D,2U,1,2U,1,1,2D,3,2U,-5,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,APH,138.45,2U,3,2U,2D,1,2U,1,1,2D,1,6,Information Technology,Unknown,XLK,1,XLK
2026-05-06 18:48:21 EDT,T,25.55,2U,3,2D,1,2D,1,1,1,1,2D,1,Communication Services,Unknown,,0,
2026-05-06 18:48:21 EDT,BKNG,168.31,2U,2D,2U,2D,2U,2D,1,1,2D,2U,3,Consumer Discretionary,Unknown,XLY,1,XLY
2026-05-06 18:48:21 EDT,TJX,155.45,2U,2U,2U,2D,2D,2U,2U,2D,2D,2D,9,Consumer Discretionary,Unknown,XLY,1,XLY
2026-05-06 18:48:21 EDT,VZ,47.42,2U,2U,2D,2U,2D,2U,1,1,1,2D,7,Communication Services,Unknown,,0,
2026-05-06 18:48:21 EDT,ACN,174.58,3,3,2D,2D,2D,2D,2D,2D,2D,2D,-6,Information Technology,Unknown,XLK,1,XLK
2026-05-06 18:48:21 EDT,NEE,95.39,2U,2U,2U,2U,2D,2U,2U,2U,1,2D,13,Utilities,Unknown,XLU,1,XLU
2026-05-06 18:48:21 EDT,DHR,174.84,2D,3,2D,2D,2D,1,2D,2D,2D,2D,-11,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,ANET,147.05,2U,1,2U,2D,2D,2U,2U,1,3,2D,5,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,HDB,25.64,2U,2D,1,2D,2U,2D,1,1,2D,2U,0,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,COF,193.34,2U,3,2U,2D,2U,2U,1,1,1,2U,7,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,SPGI,423.57,2U,3,2U,2D,1,2D,1,1,2D,1,6,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,TD,108.62,2U,2U,2U,2U,2U,2U,2U,2U,2U,2U,15,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,BHP,84.35,2D,2U,1,2D,2U,2U,2U,2U,2U,2U,-2,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,SONY,20.72,2U,2D,2D,2D,2U,2D,2D,1,2U,2U,-3,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,NOW,89.04,2U,2D,2D,1,2D,2D,2D,1,2U,2D,-3,Information Technology,Unknown,XLK,1,XLK
2026-05-06 18:48:21 EDT,GILD,136.28,2U,2U,2D,2D,2U,2U,1,1,2U,2U,5,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,UBS,45.2,3,3,2U,2U,2U,2U,1,2U,2U,2U,6,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,BSX,56.01,2U,2D,2D,2D,2D,2D,2D,2D,2D,2D,-5,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,PFE,26.5,2D,2U,2U,2D,1,2U,2U,2D,2D,1,0,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,RIO,105.5,3,2U,2U,3,2U,2U,2U,2U,2U,2U,8,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,ADI,415.67,3,2U,2U,1,2U,2U,2U,2U,2U,2U,8,Information Technology,Unknown,SMH|XLK,2,"SMH, XLK"
2026-05-06 18:48:21 EDT,ADBE,250.14,2D,2D,2D,1,2D,2D,2D,1,2U,2D,-13,Information Technology,Unknown,XLK,1,XLK
2026-05-06 18:48:21 EDT,SYK,292.3,2U,2D,2D,2D,3,2D,2D,2D,2D,3,-4,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,UL,59.7,1,3,2D,3,2U,3,2D,2U,1,2U,-2,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,UNP,268.23,2D,2U,2U,1,2U,2U,2U,1,2D,2U,3,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,LOW,233.37,2D,2U,1,2D,2U,2U,2D,2D,2D,2U,-2,Consumer Discretionary,Unknown,XLY,1,XLY
2026-05-06 18:48:21 EDT,TTE,89.96,2D,2U,2U,2U,2D,2U,2U,1,1,2D,3,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,BBVA,22.15,2U,2U,2U,2D,2U,2U,1,2D,3,2U,11,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,DE,591.75,2U,2U,1,2D,2U,2U,1,1,1,2U,8,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,SCCO,183.9,3,2U,1,2D,2U,2U,1,2D,3,2U,3,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,SMFG,21.92,2U,2U,1,2U,2U,2U,1,2U,2U,2U,12,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,HON,216.79,2D,2U,2D,1,2U,2U,1,1,2U,2U,-3,Industrials,Unknown,DIA|XLI,2,"DIA, XLI"
2026-05-06 18:48:21 EDT,PANW,183.67,2U,2D,2U,2U,2D,2D,1,2U,2U,2D,5,Information Technology,Unknown,XLK,1,XLK
